opening_range_minutes,impulse_lookback_bars,min_opening_move_pct,min_opening_range_pct,min_relative_volume,fib_lower,fib_upper,vwap_tolerance_pct,max_extension_from_vwap_pct,stop_buffer_pct,risk_per_trade_pct,daily_loss_limit_pct,target_r_multiple,partial_exit_r_multiple,trailing_exit_on_vwap_loss,min_vwap_slope_pct,min_opening_range_close_location,min_regime_strength_pct,max_positions,allow_short,slippage_bps,commission_per_order,folds,avg_train_profit_factor,avg_validation_profit_factor,median_validation_profit_factor,avg_validation_net_profit,total_validation_net_profit,avg_validation_win_rate
15,20,0.005,0.008,1.5,0.5,0.618,0.005,0.01,0.002,0.01,0.02,2.0,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,,0.31969042831486394,0.0,-0.5045671462716731,-3.0274028776300383,0.4444444444444444
15,20,0.005,0.008,1.5,0.5,0.618,0.005,0.01,0.001,0.01,0.02,1.25,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,,0.283770104265964,0.0,-0.46670556308871863,-2.8002333785323117,0.4444444444444444
15,20,0.005,0.008,1.5,0.5,0.618,0.005,0.01,0.0015,0.01,0.02,2.5,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,,0.24625289301219827,0.0,-0.4229843669850766,-2.5379062019104595,0.4444444444444444
15,20,0.005,0.008,1.5,0.5,0.618,0.005,0.01,0.0015,0.01,0.02,2.0,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,,0.24625289301219827,0.0,-0.6039270306790551,-3.6235621840743306,0.4444444444444444
15,20,0.005,0.008,1.5,0.5,0.618,0.005,0.01,0.0015,0.01,0.02,1.5,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,,0.24625289301219827,0.0,-0.7848696943730147,-4.709218166238088,0.4444444444444444
15,20,0.005,0.008,1.5,0.5,0.618,0.005,0.01,0.0015,0.01,0.02,1.25,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,,0.24625289301219827,0.0,-0.875341026220004,-5.252046157320024,0.4444444444444444
15,20,0.005,0.008,1.5,0.5,0.618,0.005,0.01,0.003,0.01,0.02,2.5,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,,0.19910717142854398,0.0,0.35099175069207905,2.1059505041524744,0.5555555555555556
15,20,0.005,0.008,1.5,0.5,0.618,0.005,0.01,0.003,0.01,0.02,2.0,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,,0.16842978052409693,0.0,-0.054029659148322175,-0.32417795488993306,0.5555555555555556
15,20,0.005,0.008,1.5,0.5,0.618,0.0025,0.01,0.002,0.01,0.02,2.5,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,1.0792776510400672,0.14467665035541377,0.0,-0.1912803120502531,-1.1476818723015185,0.4166666666666667
15,20,0.005,0.008,1.5,0.5,0.618,0.0035,0.01,0.002,0.01,0.02,2.5,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,,0.14467665035541377,0.0,-0.1912803120502531,-1.1476818723015185,0.4166666666666667
15,20,0.005,0.008,1.5,0.5,0.618,0.0025,0.01,0.002,0.01,0.02,1.5,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,2.5411159203243767,0.14467665035541377,0.0,-0.24358830863580275,-1.4615298518148165,0.4166666666666667
15,20,0.005,0.008,1.5,0.5,0.618,0.0035,0.01,0.002,0.01,0.02,1.5,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,,0.14467665035541377,0.0,-0.24358830863580275,-1.4615298518148165,0.4166666666666667
15,20,0.005,0.008,1.5,0.5,0.618,0.0025,0.01,0.002,0.01,0.02,1.25,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,2.5313062349497835,0.14467665035541377,0.0,-0.34444143584323683,-2.066648615059421,0.4166666666666667
15,20,0.005,0.008,1.5,0.5,0.618,0.0035,0.01,0.002,0.01,0.02,1.25,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,,0.14467665035541377,0.0,-0.34444143584323683,-2.066648615059421,0.4166666666666667
15,20,0.005,0.008,1.5,0.5,0.618,0.0025,0.01,0.002,0.01,0.02,2.0,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,1.0556211500310433,0.14467665035541377,0.0,-0.3929865664651402,-2.357919398790841,0.4166666666666667
15,20,0.005,0.008,1.5,0.5,0.618,0.0035,0.01,0.002,0.01,0.02,2.0,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,,0.14467665035541377,0.0,-0.3929865664651402,-2.357919398790841,0.4166666666666667
15,20,0.005,0.008,1.5,0.5,0.618,0.005,0.01,0.003,0.01,0.02,1.5,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,,0.137752389619648,0.0,-0.4590510689887424,-2.7543064139324542,0.5555555555555556
15,20,0.005,0.008,1.5,0.5,0.618,0.005,0.01,0.003,0.01,0.02,1.25,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,,0.12241369416742727,0.0,-0.17995607720280304,-1.0797364632168183,0.5555555555555556
15,20,0.005,0.008,1.5,0.5,0.618,0.0025,0.01,0.0015,0.01,0.02,2.5,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,1.0360357868569456,0.11735558112051221,0.0,-0.23364173764059615,-1.4018504258435769,0.4166666666666667
15,20,0.005,0.008,1.5,0.5,0.618,0.0035,0.01,0.0015,0.01,0.02,2.5,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,,0.11735558112051221,0.0,-0.23364173764059615,-1.4018504258435769,0.4166666666666667
15,20,0.005,0.008,1.5,0.5,0.618,0.0025,0.01,0.0015,0.01,0.02,2.0,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,1.199359581275735,0.11735558112051221,0.0,-0.4145844013345747,-2.487506408007448,0.4166666666666667
15,20,0.005,0.008,1.5,0.5,0.618,0.0035,0.01,0.0015,0.01,0.02,2.0,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,,0.11735558112051221,0.0,-0.4145844013345747,-2.487506408007448,0.4166666666666667
15,20,0.005,0.008,1.5,0.5,0.618,0.0025,0.01,0.0015,0.01,0.02,1.5,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,1.1428344954601903,0.11735558112051221,0.0,-0.5955270650285343,-3.5731623901712055,0.4166666666666667
15,20,0.005,0.008,1.5,0.5,0.618,0.0035,0.01,0.0015,0.01,0.02,1.5,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,,0.11735558112051221,0.0,-0.5955270650285343,-3.5731623901712055,0.4166666666666667
15,20,0.005,0.008,1.5,0.5,0.618,0.0025,0.01,0.0015,0.01,0.02,1.25,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,1.1575529474478319,0.11735558112051221,0.0,-0.6859983968755236,-4.115990381253141,0.4166666666666667
